pack,path,w,h
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_022.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_023.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_024.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_025.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_026.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_027.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_028.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_029.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_030.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_031.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_032.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_033.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_034.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_035.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_036.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_037.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_038.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_039.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_040.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_041.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_042.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_043.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_044.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_045.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_046.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_047.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_048.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_049.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_050.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_051.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_052.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_053.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_054.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_055.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_056.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_057.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_058.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_059.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_060.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_061.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_062.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_063.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_064.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_065.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_066.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_067.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_068.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_069.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_070.png,32,32
